Date,Trend,Keyword,Category
2019-03-31,23,tcs,IT
2019-04-07,28,tcs,IT
2019-04-14,26,tcs,IT
2019-04-21,23,tcs,IT
2019-04-28,21,tcs,IT
2019-05-05,22,tcs,IT
2019-05-12,24,tcs,IT
2019-05-19,25,tcs,IT
2019-05-26,28,tcs,IT
2019-06-02,28,tcs,IT
2019-06-09,44,tcs,IT
2019-06-16,34,tcs,IT
2019-06-23,37,tcs,IT
2019-06-30,37,tcs,IT
2019-07-07,54,tcs,IT
2019-07-14,35,tcs,IT
2019-07-21,41,tcs,IT
2019-07-28,59,tcs,IT
2019-08-04,38,tcs,IT
2019-08-11,29,tcs,IT
2019-08-18,36,tcs,IT
2019-08-25,38,tcs,IT
2019-09-01,27,tcs,IT
2019-09-08,30,tcs,IT
2019-09-15,37,tcs,IT
2019-09-22,38,tcs,IT
2019-09-29,26,tcs,IT
2019-10-06,30,tcs,IT
2019-10-13,28,tcs,IT
2019-10-20,25,tcs,IT
2019-10-27,24,tcs,IT
2019-11-03,24,tcs,IT
2019-11-10,23,tcs,IT
2019-11-17,25,tcs,IT
2019-11-24,28,tcs,IT
2019-12-01,28,tcs,IT
2019-12-08,26,tcs,IT
2019-12-15,29,tcs,IT
2019-12-22,23,tcs,IT
2019-12-29,25,tcs,IT
2020-01-05,26,tcs,IT
2020-01-12,29,tcs,IT
2020-01-19,26,tcs,IT
2020-01-26,26,tcs,IT
2020-02-02,31,tcs,IT
2020-02-09,26,tcs,IT
2020-02-16,25,tcs,IT
2020-02-23,27,tcs,IT
2020-03-01,26,tcs,IT
2020-03-08,33,tcs,IT
2020-03-15,45,tcs,IT
2020-03-22,28,tcs,IT
2020-03-29,26,tcs,IT
2020-04-05,36,tcs,IT
2020-04-12,46,tcs,IT
2020-04-19,33,tcs,IT
2020-04-26,35,tcs,IT
2020-05-03,34,tcs,IT
2020-05-10,34,tcs,IT
2020-05-17,27,tcs,IT
2020-05-24,25,tcs,IT
2020-05-31,27,tcs,IT
2020-06-07,28,tcs,IT
2020-06-14,24,tcs,IT
2020-06-21,24,tcs,IT
2020-06-28,25,tcs,IT
2020-07-05,35,tcs,IT
2020-07-12,35,tcs,IT
2020-07-19,28,tcs,IT
2020-07-26,28,tcs,IT
2020-08-02,27,tcs,IT
2020-08-09,25,tcs,IT
2020-08-16,25,tcs,IT
2020-08-23,24,tcs,IT
2020-08-30,28,tcs,IT
2020-09-06,30,tcs,IT
2020-09-13,32,tcs,IT
2020-09-20,38,tcs,IT
2020-09-27,58,tcs,IT
2020-10-04,82,tcs,IT
2020-10-11,62,tcs,IT
2020-10-18,50,tcs,IT
2020-10-25,39,tcs,IT
2020-11-01,37,tcs,IT
2020-11-08,42,tcs,IT
2020-11-15,32,tcs,IT
2020-11-22,33,tcs,IT
2020-11-29,30,tcs,IT
2020-12-06,38,tcs,IT
2020-12-13,37,tcs,IT
2020-12-20,33,tcs,IT
2020-12-27,34,tcs,IT
2021-01-03,55,tcs,IT
2021-01-10,50,tcs,IT
2021-01-17,52,tcs,IT
2021-01-24,50,tcs,IT
2021-01-31,47,tcs,IT
2021-02-07,40,tcs,IT
2021-02-14,52,tcs,IT
2021-02-21,52,tcs,IT
2021-02-28,43,tcs,IT
2021-03-07,41,tcs,IT
2021-03-14,44,tcs,IT
2021-03-21,45,tcs,IT
2021-03-28,43,tcs,IT
2021-04-04,52,tcs,IT
2021-04-11,61,tcs,IT
2021-04-18,42,tcs,IT
2021-04-25,33,tcs,IT
2021-05-02,43,tcs,IT
2021-05-09,37,tcs,IT
2021-05-16,45,tcs,IT
2021-05-23,51,tcs,IT
2021-05-30,48,tcs,IT
2021-06-06,43,tcs,IT
2021-06-13,44,tcs,IT
2021-06-20,39,tcs,IT
2021-06-27,44,tcs,IT
2021-07-04,56,tcs,IT
2021-07-11,54,tcs,IT
2021-07-18,47,tcs,IT
2021-07-25,42,tcs,IT
2021-08-01,47,tcs,IT
2021-08-08,50,tcs,IT
2021-08-15,46,tcs,IT
2021-08-22,48,tcs,IT
2021-08-29,49,tcs,IT
2021-09-05,47,tcs,IT
2021-09-12,53,tcs,IT
2021-09-19,41,tcs,IT
2021-09-26,54,tcs,IT
2021-10-03,58,tcs,IT
2021-10-10,71,tcs,IT
2021-10-17,62,tcs,IT
2021-10-24,55,tcs,IT
2021-10-31,38,tcs,IT
2021-11-07,48,tcs,IT
2021-11-14,51,tcs,IT
2021-11-21,54,tcs,IT
2021-11-28,55,tcs,IT
2021-12-05,60,tcs,IT
2021-12-12,64,tcs,IT
2021-12-19,61,tcs,IT
2021-12-26,50,tcs,IT
2022-01-02,63,tcs,IT
2022-01-09,82,tcs,IT
2022-01-16,73,tcs,IT
2022-01-23,80,tcs,IT
2022-01-30,77,tcs,IT
2022-02-06,75,tcs,IT
2022-02-13,92,tcs,IT
2022-02-20,100,tcs,IT
2022-02-27,74,tcs,IT
2022-03-06,80,tcs,IT
2022-03-13,64,tcs,IT
2022-03-20,58,tcs,IT
2019-03-31,18,infosys,IT
2019-04-07,22,infosys,IT
2019-04-14,20,infosys,IT
2019-04-21,18,infosys,IT
2019-04-28,15,infosys,IT
2019-05-05,19,infosys,IT
2019-05-12,20,infosys,IT
2019-05-19,20,infosys,IT
2019-05-26,21,infosys,IT
2019-06-02,21,infosys,IT
2019-06-09,19,infosys,IT
2019-06-16,18,infosys,IT
2019-06-23,18,infosys,IT
2019-06-30,17,infosys,IT
2019-07-07,20,infosys,IT
2019-07-14,25,infosys,IT
2019-07-21,21,infosys,IT
2019-07-28,21,infosys,IT
2019-08-04,20,infosys,IT
2019-08-11,17,infosys,IT
2019-08-18,21,infosys,IT
2019-08-25,23,infosys,IT
2019-09-01,22,infosys,IT
2019-09-08,22,infosys,IT
2019-09-15,23,infosys,IT
2019-09-22,31,infosys,IT
2019-09-29,19,infosys,IT
2019-10-06,23,infosys,IT
2019-10-13,27,infosys,IT
2019-10-20,100,infosys,IT
2019-10-27,43,infosys,IT
2019-11-03,54,infosys,IT
2019-11-10,32,infosys,IT
2019-11-17,30,infosys,IT
2019-11-24,34,infosys,IT
2019-12-01,27,infosys,IT
2019-12-08,28,infosys,IT
2019-12-15,28,infosys,IT
2019-12-22,21,infosys,IT
2019-12-29,23,infosys,IT
2020-01-05,28,infosys,IT
2020-01-12,31,infosys,IT
2020-01-19,26,infosys,IT
2020-01-26,25,infosys,IT
2020-02-02,23,infosys,IT
2020-02-09,24,infosys,IT
2020-02-16,23,infosys,IT
2020-02-23,26,infosys,IT
2020-03-01,24,infosys,IT
2020-03-08,29,infosys,IT
2020-03-15,36,infosys,IT
2020-03-22,33,infosys,IT
2020-03-29,28,infosys,IT
2020-04-05,23,infosys,IT
2020-04-12,24,infosys,IT
2020-04-19,33,infosys,IT
2020-04-26,23,infosys,IT
2020-05-03,23,infosys,IT
2020-05-10,23,infosys,IT
2020-05-17,20,infosys,IT
2020-05-24,19,infosys,IT
2020-05-31,22,infosys,IT
2020-06-07,21,infosys,IT
2020-06-14,19,infosys,IT
2020-06-21,22,infosys,IT
2020-06-28,21,infosys,IT
2020-07-05,21,infosys,IT
2020-07-12,38,infosys,IT
2020-07-19,28,infosys,IT
2020-07-26,25,infosys,IT
2020-08-02,23,infosys,IT
2020-08-09,21,infosys,IT
2020-08-16,22,infosys,IT
2020-08-23,20,infosys,IT
2020-08-30,22,infosys,IT
2020-09-06,22,infosys,IT
2020-09-13,28,infosys,IT
2020-09-20,25,infosys,IT
2020-09-27,22,infosys,IT
2020-10-04,24,infosys,IT
2020-10-11,33,infosys,IT
2020-10-18,24,infosys,IT
2020-10-25,21,infosys,IT
2020-11-01,21,infosys,IT
2020-11-08,26,infosys,IT
2020-11-15,25,infosys,IT
2020-11-22,25,infosys,IT
2020-11-29,24,infosys,IT
2020-12-06,26,infosys,IT
2020-12-13,25,infosys,IT
2020-12-20,28,infosys,IT
2020-12-27,27,infosys,IT
2021-01-03,29,infosys,IT
2021-01-10,44,infosys,IT
2021-01-17,31,infosys,IT
2021-01-24,27,infosys,IT
2021-01-31,30,infosys,IT
2021-02-07,27,infosys,IT
2021-02-14,27,infosys,IT
2021-02-21,28,infosys,IT
2021-02-28,27,infosys,IT
2021-03-07,26,infosys,IT
2021-03-14,27,infosys,IT
2021-03-21,26,infosys,IT
2021-03-28,23,infosys,IT
2021-04-04,28,infosys,IT
2021-04-11,63,infosys,IT
2021-04-18,30,infosys,IT
2021-04-25,28,infosys,IT
2021-05-02,29,infosys,IT
2021-05-09,32,infosys,IT
2021-05-16,31,infosys,IT
2021-05-23,34,infosys,IT
2021-05-30,37,infosys,IT
2021-06-06,37,infosys,IT
2021-06-13,37,infosys,IT
2021-06-20,39,infosys,IT
2021-06-27,35,infosys,IT
2021-07-04,31,infosys,IT
2021-07-11,44,infosys,IT
2021-07-18,31,infosys,IT
2021-07-25,29,infosys,IT
2021-08-01,29,infosys,IT
2021-08-08,31,infosys,IT
2021-08-15,31,infosys,IT
2021-08-22,37,infosys,IT
2021-08-29,33,infosys,IT
2021-09-05,32,infosys,IT
2021-09-12,35,infosys,IT
2021-09-19,31,infosys,IT
2021-09-26,33,infosys,IT
2021-10-03,31,infosys,IT
2021-10-10,41,infosys,IT
2021-10-17,38,infosys,IT
2021-10-24,32,infosys,IT
2021-10-31,25,infosys,IT
2021-11-07,30,infosys,IT
2021-11-14,30,infosys,IT
2021-11-21,31,infosys,IT
2021-11-28,31,infosys,IT
2021-12-05,31,infosys,IT
2021-12-12,33,infosys,IT
2021-12-19,35,infosys,IT
2021-12-26,30,infosys,IT
2022-01-02,35,infosys,IT
2022-01-09,47,infosys,IT
2022-01-16,39,infosys,IT
2022-01-23,41,infosys,IT
2022-01-30,39,infosys,IT
2022-02-06,37,infosys,IT
2022-02-13,37,infosys,IT
2022-02-20,39,infosys,IT
2022-02-27,33,infosys,IT
2022-03-06,35,infosys,IT
2022-03-13,37,infosys,IT
2022-03-20,37,infosys,IT
2019-03-31,36,hcl,IT
2019-04-07,35,hcl,IT
2019-04-14,32,hcl,IT
2019-04-21,37,hcl,IT
2019-04-28,34,hcl,IT
2019-05-05,40,hcl,IT
2019-05-12,43,hcl,IT
2019-05-19,37,hcl,IT
2019-05-26,38,hcl,IT
2019-06-02,34,hcl,IT
2019-06-09,38,hcl,IT
2019-06-16,38,hcl,IT
2019-06-23,42,hcl,IT
2019-06-30,40,hcl,IT
2019-07-07,38,hcl,IT
2019-07-14,38,hcl,IT
2019-07-21,40,hcl,IT
2019-07-28,38,hcl,IT
2019-08-04,40,hcl,IT
2019-08-11,35,hcl,IT
2019-08-18,47,hcl,IT
2019-08-25,44,hcl,IT
2019-09-01,39,hcl,IT
2019-09-08,46,hcl,IT
2019-09-15,46,hcl,IT
2019-09-22,46,hcl,IT
2019-09-29,37,hcl,IT
2019-10-06,40,hcl,IT
2019-10-13,43,hcl,IT
2019-10-20,46,hcl,IT
2019-10-27,36,hcl,IT
2019-11-03,40,hcl,IT
2019-11-10,39,hcl,IT
2019-11-17,45,hcl,IT
2019-11-24,46,hcl,IT
2019-12-01,51,hcl,IT
2019-12-08,47,hcl,IT
2019-12-15,44,hcl,IT
2019-12-22,36,hcl,IT
2019-12-29,39,hcl,IT
2020-01-05,44,hcl,IT
2020-01-12,47,hcl,IT
2020-01-19,49,hcl,IT
2020-01-26,48,hcl,IT
2020-02-02,49,hcl,IT
2020-02-09,46,hcl,IT
2020-02-16,47,hcl,IT
2020-02-23,49,hcl,IT
2020-03-01,51,hcl,IT
2020-03-08,38,hcl,IT
2020-03-15,50,hcl,IT
2020-03-22,36,hcl,IT
2020-03-29,39,hcl,IT
2020-04-05,36,hcl,IT
2020-04-12,39,hcl,IT
2020-04-19,46,hcl,IT
2020-04-26,44,hcl,IT
2020-05-03,57,hcl,IT
2020-05-10,59,hcl,IT
2020-05-17,55,hcl,IT
2020-05-24,49,hcl,IT
2020-05-31,59,hcl,IT
2020-06-07,52,hcl,IT
2020-06-14,54,hcl,IT
2020-06-21,60,hcl,IT
2020-06-28,54,hcl,IT
2020-07-05,54,hcl,IT
2020-07-12,77,hcl,IT
2020-07-19,77,hcl,IT
2020-07-26,65,hcl,IT
2020-08-02,58,hcl,IT
2020-08-09,58,hcl,IT
2020-08-16,57,hcl,IT
2020-08-23,58,hcl,IT
2020-08-30,55,hcl,IT
2020-09-06,56,hcl,IT
2020-09-13,68,hcl,IT
2020-09-20,66,hcl,IT
2020-09-27,53,hcl,IT
2020-10-04,61,hcl,IT
2020-10-11,70,hcl,IT
2020-10-18,63,hcl,IT
2020-10-25,52,hcl,IT
2020-11-01,54,hcl,IT
2020-11-08,54,hcl,IT
2020-11-15,55,hcl,IT
2020-11-22,58,hcl,IT
2020-11-29,60,hcl,IT
2020-12-06,62,hcl,IT
2020-12-13,62,hcl,IT
2020-12-20,61,hcl,IT
2020-12-27,53,hcl,IT
2021-01-03,65,hcl,IT
2021-01-10,81,hcl,IT
2021-01-17,75,hcl,IT
2021-01-24,72,hcl,IT
2021-01-31,79,hcl,IT
2021-02-07,88,hcl,IT
2021-02-14,68,hcl,IT
2021-02-21,71,hcl,IT
2021-02-28,72,hcl,IT
2021-03-07,71,hcl,IT
2021-03-14,72,hcl,IT
2021-03-21,65,hcl,IT
2021-03-28,62,hcl,IT
2021-04-04,74,hcl,IT
2021-04-11,64,hcl,IT
2021-04-18,71,hcl,IT
2021-04-25,77,hcl,IT
2021-05-02,77,hcl,IT
2021-05-09,69,hcl,IT
2021-05-16,74,hcl,IT
2021-05-23,76,hcl,IT
2021-05-30,75,hcl,IT
2021-06-06,83,hcl,IT
2021-06-13,77,hcl,IT
2021-06-20,70,hcl,IT
2021-06-27,73,hcl,IT
2021-07-04,73,hcl,IT
2021-07-11,83,hcl,IT
2021-07-18,87,hcl,IT
2021-07-25,73,hcl,IT
2021-08-01,71,hcl,IT
2021-08-08,73,hcl,IT
2021-08-15,69,hcl,IT
2021-08-22,73,hcl,IT
2021-08-29,67,hcl,IT
2021-09-05,66,hcl,IT
2021-09-12,72,hcl,IT
2021-09-19,70,hcl,IT
2021-09-26,72,hcl,IT
2021-10-03,66,hcl,IT
2021-10-10,79,hcl,IT
2021-10-17,81,hcl,IT
2021-10-24,74,hcl,IT
2021-10-31,58,hcl,IT
2021-11-07,70,hcl,IT
2021-11-14,69,hcl,IT
2021-11-21,75,hcl,IT
2021-11-28,73,hcl,IT
2021-12-05,72,hcl,IT
2021-12-12,73,hcl,IT
2021-12-19,74,hcl,IT
2021-12-26,68,hcl,IT
2022-01-02,68,hcl,IT
2022-01-09,83,hcl,IT
2022-01-16,100,hcl,IT
2022-01-23,81,hcl,IT
2022-01-30,80,hcl,IT
2022-02-06,69,hcl,IT
2022-02-13,67,hcl,IT
2022-02-20,65,hcl,IT
2022-02-27,59,hcl,IT
2022-03-06,66,hcl,IT
2022-03-13,61,hcl,IT
2022-03-20,63,hcl,IT
2019-03-31,27,wipro,IT
2019-04-07,32,wipro,IT
2019-04-14,41,wipro,IT
2019-04-21,35,wipro,IT
2019-04-28,27,wipro,IT
2019-05-05,30,wipro,IT
2019-05-12,32,wipro,IT
2019-05-19,29,wipro,IT
2019-05-26,32,wipro,IT
2019-06-02,35,wipro,IT
2019-06-09,37,wipro,IT
2019-06-16,34,wipro,IT
2019-06-23,29,wipro,IT
2019-06-30,30,wipro,IT
2019-07-07,31,wipro,IT
2019-07-14,42,wipro,IT
2019-07-21,34,wipro,IT
2019-07-28,37,wipro,IT
2019-08-04,33,wipro,IT
2019-08-11,30,wipro,IT
2019-08-18,36,wipro,IT
2019-08-25,36,wipro,IT
2019-09-01,36,wipro,IT
2019-09-08,42,wipro,IT
2019-09-15,47,wipro,IT
2019-09-22,41,wipro,IT
2019-09-29,37,wipro,IT
2019-10-06,32,wipro,IT
2019-10-13,56,wipro,IT
2019-10-20,34,wipro,IT
2019-10-27,31,wipro,IT
2019-11-03,34,wipro,IT
2019-11-10,28,wipro,IT
2019-11-17,31,wipro,IT
2019-11-24,30,wipro,IT
2019-12-01,30,wipro,IT
2019-12-08,29,wipro,IT
2019-12-15,27,wipro,IT
2019-12-22,20,wipro,IT
2019-12-29,24,wipro,IT
2020-01-05,28,wipro,IT
2020-01-12,37,wipro,IT
2020-01-19,30,wipro,IT
2020-01-26,32,wipro,IT
2020-02-02,32,wipro,IT
2020-02-09,30,wipro,IT
2020-02-16,27,wipro,IT
2020-02-23,29,wipro,IT
2020-03-01,31,wipro,IT
2020-03-08,27,wipro,IT
2020-03-15,29,wipro,IT
2020-03-22,36,wipro,IT
2020-03-29,43,wipro,IT
2020-04-05,25,wipro,IT
2020-04-12,37,wipro,IT
2020-04-19,27,wipro,IT
2020-04-26,26,wipro,IT
2020-05-03,28,wipro,IT
2020-05-10,25,wipro,IT
2020-05-17,24,wipro,IT
2020-05-24,30,wipro,IT
2020-05-31,33,wipro,IT
2020-06-07,26,wipro,IT
2020-06-14,25,wipro,IT
2020-06-21,29,wipro,IT
2020-06-28,28,wipro,IT
2020-07-05,26,wipro,IT
2020-07-12,52,wipro,IT
2020-07-19,41,wipro,IT
2020-07-26,38,wipro,IT
2020-08-02,32,wipro,IT
2020-08-09,31,wipro,IT
2020-08-16,35,wipro,IT
2020-08-23,29,wipro,IT
2020-08-30,31,wipro,IT
2020-09-06,34,wipro,IT
2020-09-13,40,wipro,IT
2020-09-20,34,wipro,IT
2020-09-27,30,wipro,IT
2020-10-04,48,wipro,IT
2020-10-11,73,wipro,IT
2020-10-18,41,wipro,IT
2020-10-25,38,wipro,IT
2020-11-01,37,wipro,IT
2020-11-08,41,wipro,IT
2020-11-15,42,wipro,IT
2020-11-22,46,wipro,IT
2020-11-29,40,wipro,IT
2020-12-06,54,wipro,IT
2020-12-13,46,wipro,IT
2020-12-20,51,wipro,IT
2020-12-27,46,wipro,IT
2021-01-03,55,wipro,IT
2021-01-10,69,wipro,IT
2021-01-17,56,wipro,IT
2021-01-24,52,wipro,IT
2021-01-31,48,wipro,IT
2021-02-07,43,wipro,IT
2021-02-14,40,wipro,IT
2021-02-21,45,wipro,IT
2021-02-28,50,wipro,IT
2021-03-07,45,wipro,IT
2021-03-14,41,wipro,IT
2021-03-21,38,wipro,IT
2021-03-28,37,wipro,IT
2021-04-04,46,wipro,IT
2021-04-11,58,wipro,IT
2021-04-18,51,wipro,IT
2021-04-25,45,wipro,IT
2021-05-02,47,wipro,IT
2021-05-09,45,wipro,IT
2021-05-16,45,wipro,IT
2021-05-23,49,wipro,IT
2021-05-30,48,wipro,IT
2021-06-06,48,wipro,IT
2021-06-13,50,wipro,IT
2021-06-20,45,wipro,IT
2021-06-27,47,wipro,IT
2021-07-04,48,wipro,IT
2021-07-11,70,wipro,IT
2021-07-18,51,wipro,IT
2021-07-25,49,wipro,IT
2021-08-01,46,wipro,IT
2021-08-08,46,wipro,IT
2021-08-15,49,wipro,IT
2021-08-22,52,wipro,IT
2021-08-29,54,wipro,IT
2021-09-05,53,wipro,IT
2021-09-12,60,wipro,IT
2021-09-19,55,wipro,IT
2021-09-26,62,wipro,IT
2021-10-03,59,wipro,IT
2021-10-10,76,wipro,IT
2021-10-17,66,wipro,IT
2021-10-24,58,wipro,IT
2021-10-31,46,wipro,IT
2021-11-07,57,wipro,IT
2021-11-14,53,wipro,IT
2021-11-21,55,wipro,IT
2021-11-28,49,wipro,IT
2021-12-05,51,wipro,IT
2021-12-12,54,wipro,IT
2021-12-19,59,wipro,IT
2021-12-26,48,wipro,IT
2022-01-02,50,wipro,IT
2022-01-09,100,wipro,IT
2022-01-16,72,wipro,IT
2022-01-23,85,wipro,IT
2022-01-30,78,wipro,IT
2022-02-06,62,wipro,IT
2022-02-13,62,wipro,IT
2022-02-20,67,wipro,IT
2022-02-27,60,wipro,IT
2022-03-06,62,wipro,IT
2022-03-13,58,wipro,IT
2022-03-20,60,wipro,IT
2019-03-31,54,l&t,IT
2019-04-07,47,l&t,IT
2019-04-14,42,l&t,IT
2019-04-21,43,l&t,IT
2019-04-28,40,l&t,IT
2019-05-05,47,l&t,IT
2019-05-12,47,l&t,IT
2019-05-19,59,l&t,IT
2019-05-26,61,l&t,IT
2019-06-02,54,l&t,IT
2019-06-09,52,l&t,IT
2019-06-16,46,l&t,IT
2019-06-23,53,l&t,IT
2019-06-30,51,l&t,IT
2019-07-07,50,l&t,IT
2019-07-14,53,l&t,IT
2019-07-21,61,l&t,IT
2019-07-28,57,l&t,IT
2019-08-04,54,l&t,IT
2019-08-11,44,l&t,IT
2019-08-18,54,l&t,IT
2019-08-25,56,l&t,IT
2019-09-01,50,l&t,IT
2019-09-08,50,l&t,IT
2019-09-15,54,l&t,IT
2019-09-22,60,l&t,IT
2019-09-29,45,l&t,IT
2019-10-06,45,l&t,IT
2019-10-13,53,l&t,IT
2019-10-20,48,l&t,IT
2019-10-27,52,l&t,IT
2019-11-03,54,l&t,IT
2019-11-10,47,l&t,IT
2019-11-17,55,l&t,IT
2019-11-24,65,l&t,IT
2019-12-01,62,l&t,IT
2019-12-08,61,l&t,IT
2019-12-15,58,l&t,IT
2019-12-22,47,l&t,IT
2019-12-29,56,l&t,IT
2020-01-05,54,l&t,IT
2020-01-12,60,l&t,IT
2020-01-19,62,l&t,IT
2020-01-26,56,l&t,IT
2020-02-02,64,l&t,IT
2020-02-09,57,l&t,IT
2020-02-16,51,l&t,IT
2020-02-23,54,l&t,IT
2020-03-01,54,l&t,IT
2020-03-08,58,l&t,IT
2020-03-15,73,l&t,IT
2020-03-22,66,l&t,IT
2020-03-29,62,l&t,IT
2020-04-05,50,l&t,IT
2020-04-12,57,l&t,IT
2020-04-19,64,l&t,IT
2020-04-26,57,l&t,IT
2020-05-03,62,l&t,IT
2020-05-10,65,l&t,IT
2020-05-17,62,l&t,IT
2020-05-24,56,l&t,IT
2020-05-31,80,l&t,IT
2020-06-07,70,l&t,IT
2020-06-14,65,l&t,IT
2020-06-21,70,l&t,IT
2020-06-28,65,l&t,IT
2020-07-05,65,l&t,IT
2020-07-12,68,l&t,IT
2020-07-19,73,l&t,IT
2020-07-26,62,l&t,IT
2020-08-02,62,l&t,IT
2020-08-09,70,l&t,IT
2020-08-16,70,l&t,IT
2020-08-23,71,l&t,IT
2020-08-30,69,l&t,IT
2020-09-06,61,l&t,IT
2020-09-13,64,l&t,IT
2020-09-20,58,l&t,IT
2020-09-27,52,l&t,IT
2020-10-04,57,l&t,IT
2020-10-11,56,l&t,IT
2020-10-18,61,l&t,IT
2020-10-25,69,l&t,IT
2020-11-01,61,l&t,IT
2020-11-08,71,l&t,IT
2020-11-15,75,l&t,IT
2020-11-22,77,l&t,IT
2020-11-29,72,l&t,IT
2020-12-06,75,l&t,IT
2020-12-13,75,l&t,IT
2020-12-20,70,l&t,IT
2020-12-27,70,l&t,IT
2021-01-03,77,l&t,IT
2021-01-10,72,l&t,IT
2021-01-17,83,l&t,IT
2021-01-24,73,l&t,IT
2021-01-31,100,l&t,IT
2021-02-07,80,l&t,IT
2021-02-14,71,l&t,IT
2021-02-21,75,l&t,IT
2021-02-28,69,l&t,IT
2021-03-07,61,l&t,IT
2021-03-14,59,l&t,IT
2021-03-21,56,l&t,IT
2021-03-28,51,l&t,IT
2021-04-04,56,l&t,IT
2021-04-11,49,l&t,IT
2021-04-18,44,l&t,IT
2021-04-25,45,l&t,IT
2021-05-02,57,l&t,IT
2021-05-09,56,l&t,IT
2021-05-16,58,l&t,IT
2021-05-23,64,l&t,IT
2021-05-30,68,l&t,IT
2021-06-06,71,l&t,IT
2021-06-13,56,l&t,IT
2021-06-20,53,l&t,IT
2021-06-27,56,l&t,IT
2021-07-04,56,l&t,IT
2021-07-11,66,l&t,IT
2021-07-18,56,l&t,IT
2021-07-25,59,l&t,IT
2021-08-01,57,l&t,IT
2021-08-08,56,l&t,IT
2021-08-15,54,l&t,IT
2021-08-22,56,l&t,IT
2021-08-29,60,l&t,IT
2021-09-05,51,l&t,IT
2021-09-12,53,l&t,IT
2021-09-19,56,l&t,IT
2021-09-26,54,l&t,IT
2021-10-03,55,l&t,IT
2021-10-10,49,l&t,IT
2021-10-17,66,l&t,IT
2021-10-24,61,l&t,IT
2021-10-31,49,l&t,IT
2021-11-07,59,l&t,IT
2021-11-14,50,l&t,IT
2021-11-21,54,l&t,IT
2021-11-28,55,l&t,IT
2021-12-05,54,l&t,IT
2021-12-12,49,l&t,IT
2021-12-19,57,l&t,IT
2021-12-26,49,l&t,IT
2022-01-02,55,l&t,IT
2022-01-09,52,l&t,IT
2022-01-16,56,l&t,IT
2022-01-23,57,l&t,IT
2022-01-30,66,l&t,IT
2022-02-06,54,l&t,IT
2022-02-13,52,l&t,IT
2022-02-20,52,l&t,IT
2022-02-27,50,l&t,IT
