Date,tcs,infosys,hcl,wipro,l&t,nestle,dabur,itc,godrej,britannia,icici,sbi,hdfc,axis,pnb,reliance,ongc,adani,ntpc
2019-03-31,23,18,36,27,54,28,41,21,73,27,90,81,62,76,62,38,60,5,50
2019-04-07,28,22,35,32,47,24,39,22,74,27,71,67,53,68,51,35,42,5,20
2019-04-14,26,20,32,41,42,25,35,22,72,25,58,62,46,61,44,35,33,5,16
2019-04-21,23,18,37,35,43,28,37,21,67,29,57,58,46,60,46,38,37,5,14
2019-04-28,21,15,34,27,40,24,41,18,73,40,70,67,53,68,46,34,29,4,13
2019-05-05,22,19,40,30,47,27,39,24,74,40,72,61,55,67,47,41,36,5,14
2019-05-12,24,20,43,32,47,27,39,31,76,38,70,64,51,64,47,39,28,5,15
2019-05-19,25,20,37,29,59,24,44,26,67,35,63,56,45,59,45,45,33,10,16
2019-05-26,28,21,38,32,61,25,37,25,73,32,73,63,52,68,50,41,41,9,22
2019-06-02,28,21,34,35,54,24,36,25,70,31,73,67,57,69,44,38,59,7,37
2019-06-09,44,19,38,37,52,27,37,28,72,29,72,63,52,72,49,39,42,7,33
2019-06-16,34,18,38,34,46,24,37,26,63,28,66,60,47,65,40,37,35,6,38
2019-06-23,37,18,42,29,53,25,40,24,65,32,71,61,50,64,46,38,32,6,32
2019-06-30,37,17,40,30,51,25,36,23,62,27,80,67,59,71,48,35,29,8,30
2019-07-07,54,20,38,31,50,26,37,25,64,25,76,63,54,74,53,35,35,7,33
2019-07-14,35,25,38,42,53,31,43,26,63,27,80,66,54,78,47,36,46,7,34
2019-07-21,41,21,40,34,61,29,42,26,66,29,76,76,53,72,46,37,40,6,34
2019-07-28,59,21,38,37,57,30,39,27,63,32,86,73,67,82,59,37,40,6,32
2019-08-04,38,20,40,33,54,32,39,27,65,32,79,70,61,77,50,41,35,6,23
2019-08-11,29,17,35,30,44,29,36,25,64,29,71,62,52,65,43,66,38,4,21
2019-08-18,36,21,47,36,54,35,41,32,66,44,74,63,55,71,46,44,42,5,27
2019-08-25,38,23,44,36,56,43,39,31,65,39,84,68,62,81,56,41,37,6,27
2019-09-01,27,22,39,36,50,31,39,24,65,33,82,72,67,79,56,45,59,5,23
2019-09-08,30,22,46,42,50,33,41,26,69,29,77,63,57,73,49,40,38,5,19
2019-09-15,37,23,46,47,54,33,43,31,68,36,80,64,61,80,49,42,38,6,18
2019-09-22,38,31,46,41,60,38,40,32,70,38,80,63,59,75,47,45,36,7,18
2019-09-29,26,19,37,37,45,32,32,27,76,28,99,80,81,96,50,44,31,5,15
2019-10-06,30,23,40,32,45,30,36,29,71,31,82,67,61,74,43,41,31,6,14
2019-10-13,28,27,43,56,53,34,38,29,74,31,82,68,64,81,51,47,38,10,15
2019-10-20,25,100,46,34,48,31,40,31,75,25,77,71,62,74,45,50,30,6,12
