geoName,geoCode,tcs,infosys,hcl,wipro,l&t,nestle,dabur,itc,godrej,britannia,icici,sbi,hdfc,axis,pnb,reliance,ongc,adani,ntpc
Andaman and Nicobar Islands,AN,21,17,33,24,21,29,59,40,35,58,39,100,17,46,11,22,12,20,17
Andhra Pradesh,AP,100,64,100,87,38,27,47,58,50,44,62,87,32,67,8,57,25,22,59
Arunachal Pradesh,AR,6,7,23,9,12,21,25,17,32,0,13,97,6,24,9,13,9,8,10
Assam,AS,12,9,22,14,22,27,39,28,53,45,28,58,14,36,20,27,59,12,26
Bihar,BR,20,14,29,20,21,15,51,21,41,27,27,38,12,29,30,23,8,12,69
Chandigarh,CH,19,26,34,24,25,50,61,37,44,40,55,46,35,51,60,44,9,18,17
Chhattisgarh,CT,25,16,31,21,20,27,45,30,33,39,38,69,18,49,28,38,9,23,85
Dadra and Nagar Haveli,DN,37,35,42,58,55,0,97,56,57,61,100,46,95,69,19,61,18,52,21
Daman and Diu,DD,42,34,54,63,55,0,92,69,59,83,80,53,100,100,23,67,17,60,16
Delhi,DL,45,42,75,57,51,78,100,96,86,92,97,47,41,81,57,66,23,38,38
Goa,GA,24,35,39,36,42,100,55,68,52,83,53,39,37,51,8,45,13,24,7
Gujarat,GJ,64,59,55,75,100,50,60,68,70,78,83,50,44,88,18,100,68,100,24
Haryana,HR,37,35,62,46,41,61,78,69,73,53,85,46,53,74,66,57,15,36,39
Himachal Pradesh,HP,11,13,38,19,17,39,48,29,32,26,38,53,23,34,100,25,7,11,15
Jammu and Kashmir,JK,13,12,33,19,15,30,41,25,31,27,26,47,15,27,29,27,8,13,24
Jharkhand,JH,53,40,55,49,42,38,70,49,66,55,49,64,20,53,27,55,15,28,100
Karnataka,KA,68,100,76,100,51,55,59,75,82,80,82,51,36,77,9,61,13,25,18
Kerala,KL,43,40,41,37,29,34,20,37,44,31,35,57,17,40,9,41,10,18,23
Lakshadweep,LD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,MP,28,19,29,25,21,21,46,26,34,27,29,39,14,30,18,28,8,17,49
Maharashtra,MH,76,66,60,72,66,60,68,68,100,100,96,42,41,83,14,71,26,51,22
Manipur,MN,5,4,19,5,4,17,19,8,20,22,11,42,9,21,8,8,7,4,8
Meghalaya,ML,9,8,24,13,13,28,34,20,37,30,17,74,13,22,8,21,9,7,10
Mizoram,MZ,5,3,15,6,0,15,0,10,44,0,9,49,6,15,3,8,4,2,3
Nagaland,NL,5,5,20,11,6,21,19,16,26,19,14,68,6,31,4,13,11,7,9
Odisha,OR,40,31,38,35,36,24,68,34,62,45,43,62,19,54,17,40,11,16,63
Puducherry,PY,74,29,66,41,31,36,45,43,47,57,80,69,31,60,8,32,32,14,20
Punjab,PB,23,27,46,30,29,67,72,49,49,39,48,41,44,55,68,47,9,24,18
Rajasthan,RJ,21,23,33,25,25,24,49,39,39,31,51,58,22,36,39,39,13,25,61
Sikkim,SK,14,18,46,28,27,0,49,40,41,0,32,71,24,69,13,28,11,15,18
Tamil Nadu,TN,75,46,90,56,51,40,43,61,49,75,87,52,39,84,10,46,14,16,23
Telangana,TG,84,58,75,84,41,36,49,62,54,54,98,72,43,84,9,56,13,22,42
Tripura,TR,41,16,37,25,37,38,38,32,60,49,20,58,12,28,19,23,100,15,22
Uttar Pradesh,UP,28,21,54,30,25,32,67,35,46,43,41,34,21,38,36,33,12,18,48
Uttarakhand,UT,30,27,50,32,27,54,63,55,39,53,50,53,27,50,78,52,54,25,38
West Bengal,WB,64,39,41,51,49,53,72,100,83,100,48,49,20,71,28,46,20,20,41
